case_id,dni,edad,provincia,antiguedad_domicilio_meses,situacion_laboral,antiguedad_laboral_meses,ingresos_mensuales,score_crediticio,deuda_total,cantidad_deudas,cheques_rechazados,tipo_siniestro,frecuencia_siniestros_ultimo_anio,monto_reclamado,repite_domicilio,repite_telefono,cambio_aseguradora_frecuente,denuncia_tardia,siniestro_cerca_vencimiento,testigo_repetido,inconsistencia_ingresos_vs_deuda,inconsistencia_laboral,datos_incompletos,mes_siniestro,trimestre_siniestro,dia_semana_siniestro,fin_de_semana_siniestro,requiere_revision,nivel_riesgo,fraude,split
CASE-00298,30691219,35,caba,59,empleado,52,274281,739,411916,0,0,comercio,2,40697,0,0,0,0,0,0,0,0,0,12,4,3,0,0,bajo,0,train_balanced
CASE-00834,21238663,44,tucuman,49,desempleado,3,88162,677,270885,1,1,comercio,2,1081241,0,0,0,0,0,1,1,0,0,2,1,3,0,1,alto,1,train_balanced
CASE-00539,46386996,28,caba,91,monotributista,18,249095,464,235450,3,0,hogar,1,93240,0,0,0,0,0,0,0,0,0,6,2,2,0,0,bajo,0,train_balanced
CASE-00774,34622576,45,buenos aires,26,monotributista,14,64294,686,102154,1,2,robo,1,122962,1,0,1,0,0,0,0,0,0,2,1,1,0,0,bajo,0,train_balanced
CASE-00558,29334760,40,tucuman,43,empleado,29,191056,704,163899,3,1,auto,2,201045,0,0,0,1,1,0,0,0,0,2,1,4,0,0,bajo,0,train_balanced
CASE-00324,33575703,23,mendoza,34,desempleado,3,25000,772,30777,1,3,lesiones,1,325399,0,0,0,0,0,0,0,0,0,7,3,3,0,1,medio,0,train_balanced
CASE-00096,33064637,44,caba,79,autonomo,27,258802,685,354802,0,1,comercio,1,610616,0,0,0,0,0,0,0,0,0,8,3,3,0,0,bajo,0,train_balanced
CASE-00914,23909321,56,caba,29,autonomo,9,302052,617,349205,1,1,robo,1,387956,0,0,0,0,0,0,0,0,0,3,1,5,1,0,bajo,0,train_balanced
CASE-00070,26208714,55,santa fe,74,empleado,78,142126,541,201750,1,1,hogar,1,154188,0,0,0,0,0,0,0,0,0,10,4,2,0,0,bajo,0,train_balanced
CASE-00679,29168312,33,mendoza,29,empleado,41,207623,694,398255,2,0,robo,3,161933,1,0,0,0,0,0,0,0,0,1,1,2,0,0,bajo,0,train_balanced
CASE-00827,26485093,18,mendoza,57,empleado,32,313485,760,439224,0,0,robo,1,123960,0,0,0,0,0,0,0,0,0,5,2,3,0,0,bajo,0,train_balanced
